tconst,averageRating,runtimeMinutes,genres,directors,actor
tt0171433,6.4,128,"Comedy,Drama,Romance",nm0001570,nm0001774
tt0171580,6.3,110,"Comedy,Crime,Drama",nm0001438,nm0000250
tt0172156,6.6,147,"Action,Comedy,Crime",nm0000881,nm0000226
tt0172495,8.5,155,"Action,Adventure,Drama",nm0000631,nm0000128
tt0173840,6.4,106,"Action,Adventure,Animation","nm0756983,nm1012102",nm0000285
tt0174480,5.6,103,"Drama,Romance",nm0001040,nm0000152
tt0175142,6.2,88,Comedy,nm0005540,nm0267506
tt0177858,7.7,99,"Adventure,Comedy,Romance",nm0015359,nm0001953
tt0177971,6.5,130,"Action,Adventure,Drama",nm0000583,nm0000123
tt0179626,6.1,120,"Action,Crime,Drama",nm0381273,nm0000134
tt0180052,3.8,95,"Action,Comedy,Sci-Fi",nm0881038,nm0000552
tt0180073,7.2,124,"Biography,Drama",nm0442241,nm0001691
tt0180093,8.3,102,Drama,nm0004716,nm0000995
tt0180734,6.4,106,"Comedy,Drama,Sport",nm0005367,nm0000206
tt0181536,7.3,136,Drama,nm0001814,nm0000125
tt0181689,7.6,145,"Action,Crime,Mystery",nm0000229,nm0000129
tt0181739,6.3,95,"Action,Adventure,Animation","nm0125803,nm0268380",nm0000401
tt0181852,6.3,109,"Action,Sci-Fi",nm0609236,nm0000216
tt0181865,7.6,147,"Crime,Drama,Thriller",nm0001752,nm0000140
tt0181875,7.9,122,"Adventure,Comedy,Drama",nm0001081,nm0001082
tt0181984,7.0,120,"Crime,Drama,Thriller",nm0950226,nm0000610
tt0183505,6.6,116,Comedy,"nm0125803,nm0268380",nm0000120
tt0183523,5.6,114,"Adventure,Sci-Fi,Thriller",nm0000361,nm0000209
tt0183649,7.1,81,"Crime,Thriller",nm0001708,nm0268199
tt0183659,7.0,122,"Biography,Drama",nm0000438,nm0000438
tt0183790,6.9,132,"Action,Adventure,Romance",nm0001338,nm0005132
tt0183869,6.5,88,"Action,Comedy,Crime",nm0470443,nm0618651
tt0184791,6.1,95,"Drama,Romance,Thriller",nm0625789,nm0001616
tt0184858,5.8,104,"Action,Adventure,Crime",nm0001239,nm0000255
