tconst,averageRating,numVotes,runtimeMinutes,genres,directors,writers,actor
tt0146984,6.7,58013,126,"Drama,Fantasy,Sport",nm0000602,"nm0696267,nm0505230",nm0000226
tt0157583,6.4,21424,119,"Drama,Mystery,Romance",nm0000776,"nm0365249,nm0001779",nm0779084
tt0158622,3.7,24279,90,"Comedy,Family,Romance",nm0505152,"nm0360253,nm0053484,nm0438226,nm0253323,nm0143596,nm0258390",nm0004692
tt0159273,6.4,108166,106,"Action,Drama,Thriller",nm0601382,"nm0859029,nm0859049,nm0892705,nm0672015",nm0000432
tt0159365,7.2,151390,154,"Adventure,Drama,Romance",nm0005237,"nm0292565,nm0005237",nm0000179
tt0160009,5.7,30325,117,"Action,Adventure,Crime",nm0240995,"nm0063511,nm0058164",nm0000648
tt0160127,5.6,190177,98,"Action,Adventure,Comedy",nm0629334,"nm0746598,nm0004412,nm0041864,nm0324578,nm0730850",nm0000139
tt0160184,5.3,28370,96,"Crime,Thriller",nm0318947,"nm0842697,nm0109587",nm0000230
tt0160399,6.2,24088,95,"Drama,Mystery,Sci-Fi",nm0001219,"nm0001140,nm0003298,nm0143187,nm0472567,nm0878638",nm0111274
tt0160797,6.4,48848,128,"Drama,Thriller,War",nm0001243,"nm0916136,nm0300866",nm0000169
tt0161081,6.6,129729,130,"Drama,Horror,Mystery",nm0000709,"nm0163988,nm0449576",nm0000148
tt0162222,7.8,604482,143,"Adventure,Drama,Romance",nm0000709,nm0115310,nm0000158
tt0162346,7.3,122945,111,"Comedy,Drama",nm0959062,"nm0167280,nm0959062",nm0000114
tt0162650,6.0,78492,99,"Action,Crime,Thriller",nm0005436,"nm0862781,nm0005436,nm0004307,nm0697115",nm0000168
tt0163025,5.9,328449,92,"Action,Adventure,Sci-Fi",nm0002653,"nm0000341,nm0118224,nm0668247,nm0852591",nm0000554
tt0163978,6.6,244245,119,"Adventure,Drama,Romance",nm0000965,"nm0388076,nm0307497",nm0000138
tt0164052,5.8,133783,112,"Action,Horror,Sci-Fi",nm0000682,"nm0860155,nm0549256",nm0000102
tt0164184,6.4,119657,124,"Action,Drama,Thriller",nm0004675,"nm0002007,nm0001921,nm0002417",nm0000255
tt0164212,6.4,26588,110,"Crime,Drama,Thriller",nm0394280,"nm0906538,nm0002218,nm0379150,nm0002192,nm0699103,nm0407717",nm0000151
tt0164334,6.4,90723,104,"Drama,Thriller",nm0848414,"nm0609031,nm0666248",nm0000151
tt0164961,6.4,22592,98,"Action,Crime,Fantasy",nm0685759,"nm0896520,nm0685759,nm0335096",nm0000367
tt0165832,7.6,34315,116,"Adventure,Comedy,Drama",nm0301826,nm0301826,nm0005188
tt0165929,6.1,71691,115,"Action,Crime,Thriller",nm0005647,"nm0438449,nm0077171,nm0418904",nm0001472
tt0165982,6.7,56375,88,"Adventure,Animation,Comedy","nm1369708,nm0426333",nm0517589,nm0000093
tt0166813,7.2,79402,83,"Adventure,Animation,Drama","nm0038432,nm0177170","nm0299301,nm0524710",nm0000354
tt0166924,7.9,363883,147,"Drama,Mystery,Thriller",nm0000186,nm0000186,nm0915208
tt0167190,6.8,336198,122,"Action,Adventure,Fantasy",nm0868219,"nm0868219,nm1486009,nm0586005",nm0000579
tt0167260,9.0,1872608,201,"Action,Adventure,Drama",nm0001392,"nm0866058,nm0909638,nm0101991,nm0001392",nm0000704
tt0167261,8.8,1690580,179,"Action,Adventure,Drama",nm0001392,"nm0866058,nm0909638,nm0101991,nm0801728,nm0001392",nm0000704
tt0168629,7.9,112288,140,"Crime,Drama,Musical",nm0001885,"nm0001885,nm0797604",nm0001951
tt0168786,7.3,36794,120,"Biography,Drama",nm0000243,nm0279376,nm0000243
tt0169102,8.1,116416,224,"Drama,Musical,Sport",nm0332950,"nm0332950,nm1021349,nm1021353,nm1022153",nm0451148
tt0170016,6.3,267163,104,"Comedy,Family,Fantasy",nm0000165,"nm0317450,nm0696949,nm0780620",nm0000120
tt0170691,6.9,42054,101,"Drama,War",nm0001708,"nm0458462,nm0570077",nm0268199
tt0171433,6.4,52438,128,"Comedy,Drama,Romance",nm0001570,nm0089742,nm0001774
tt0171580,6.3,35611,110,"Comedy,Crime,Drama",nm0001438,"nm0724167,nm0280963",nm0000250
tt0172156,6.6,256632,147,"Action,Comedy,Crime",nm0000881,"nm0303032,nm0926729,nm0926727,nm0005421,nm0821466",nm0000226
tt0172495,8.5,1522902,155,"Action,Adventure,Drama",nm0000631,"nm0291905,nm0517589,nm0629933",nm0000128
tt0173840,6.4,82836,106,"Action,Adventure,Animation","nm0756983,nm1012102","nm0756983,nm0718031,nm0899113,nm0282027,nm10455508,nm1804369",nm0000285
tt0174480,5.6,27246,103,"Drama,Romance",nm0001040,nm0122335,nm0000152
tt0175142,6.2,268877,88,Comedy,nm0005540,"nm0915465,nm0005541,nm0424688,nm0064556,nm0294997,nm0783536",nm0267506
tt0177858,7.7,22381,99,"Adventure,Comedy,Romance",nm0015359,nm0015359,nm0001953
tt0177971,6.5,171476,130,"Action,Adventure,Drama",nm0000583,"nm0432631,nm0937074",nm0000123
tt0179626,6.1,51016,120,"Action,Crime,Drama",nm0381273,nm0381273,nm0000134
tt0180052,3.8,26350,95,"Action,Comedy,Sci-Fi",nm0881038,nm0193854,nm0000552
tt0180073,7.2,55289,124,"Biography,Drama",nm0442241,nm0942354,nm0001691
tt0180093,8.3,855400,102,Drama,nm0004716,"nm0782968,nm0004716",nm0000995
tt0180734,6.4,32203,106,"Comedy,Drama,Sport",nm0005367,"nm0185359,nm0309691",nm0000206
tt0181536,7.3,87434,136,Drama,nm0001814,nm0723692,nm0000125
tt0181689,7.6,561977,145,"Action,Crime,Mystery",nm0000229,"nm0291082,nm0169509,nm0001140",nm0000129
tt0181739,6.3,37105,95,"Action,Adventure,Animation","nm0125803,nm0268380",nm0405190,nm0000401
tt0181852,6.3,405771,109,"Action,Sci-Fi",nm0609236,"nm0104335,nm0274905,nm0093328",nm0000216
tt0181865,7.6,211026,147,"Crime,Drama,Thriller",nm0001752,"nm0601881,nm0300866",nm0000140
